Killed,Killed Class,Death Type,Death Class,X,Y,Z,Grid,Killed By,Killed By Class,Year,Month,Day,Hour,Minute
,RD501_opfor_unit_B1,NA,,14360.7,4616.01,0.00143623,143923,CS-M Del,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14332.3,4632.51,0.00121403,143923,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_droideka_mobile,NA,,14369.9,4592.58,-0.196652,143923,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,O_UAV_AI,NA,,14369.9,4592.58,-0.148594,143923,Error: No vehicle,,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14345.1,4600.44,0.00145006,143923,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14362.4,4610.97,0.00137901,143923,CS-M Del,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14325.9,4606.63,0.00137949,143923,CT Nesvy,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14376.2,4547.11,0.00144672,143922,CT Deytow,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,13565.4,5598.86,0.00144768,135933,ZE46,RD501_opfor_unit_B1,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14824.8,4525.25,0.00143814,148922,CT Six,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14360.6,4603.22,0.00139189,143923,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14452.4,4578.12,0.00145864,144922,CS Duke,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14383.1,4570,0.00144672,143922,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14342,4609.51,0.0014019,143923,CT Nesvy,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14334.9,4649.75,0.00145149,143923,CP Gamble,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
,RD501_opfor_unit_B1,NA,,14504.5,4597.49,0.00125313,145923,CS Duke,JLTS_Clone_P2_DC15A_501,1985,5,10,8,18
