,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,,NA,,0,0,0,000000,Error: No vehicle,,2017,7,21,10,2
,SWLB_clone_base_P2,NA,,3091.68,3532.42,-0.0559654,030035,30923,RD501_opfor_unit_B1,2017,7,21,10,2
,SWLB_clone_at_base_P2,NA,,3115.46,3532.4,-0.000490189,031035,3899,RD501_opfor_unit_B1_heavy,2017,7,21,10,2
,RD501_v19_MKI,NA,,763.794,9642.67,-0.42556,007096,Error: No vehicle,,2017,7,21,10,2
,RD501_LAAT_MKIII_Balls,NA,,763.793,9642.67,8.52689,007096,CX-C Moony,JLTS_Clone_P2_DC15A_501,2017,7,21,10,2
,SWLB_clone_base_P2,NA,,3115.6,3534.24,-0.21945,031035,9443,RD501_opfor_unit_B1_AT_heavy,2017,7,21,10,2
,SWLB_clone_sg_base_P2,NA,,3142.5,3534.64,0.000646591,031035,30923,RD501_opfor_unit_B1,2017,7,21,10,2
,RD501_opfor_unit_B1,NA,,3057.79,3506.57,0.00212955,030035,'Rascal',SWLB_clone_assault_base_P2,2017,7,21,10,2
,RD501_Vulture,NA,,2327.19,5840.93,350.795,023058,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,10,2
,RD501_opfor_unit_B1_pilot,NA,,2327.07,5839.19,352.004,023058,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,10,2
,SWLB_clone_assault_base_P2,NA,,3112.41,3524.02,0.00134659,031035,Shah,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,2
,SWLB_clone_medic_base_P2,NA,,2266.97,2906.92,0.00287533,022029,73852,RD501_opfor_unit_B1,2017,7,21,10,2
,RD501_opfor_unit_B1_heavy,NA,,2100.1,2880.97,0.00164413,021028,'Jinx',SWLB_clone_RTO_base_P2,2017,7,21,10,2
,RD501_Vulture,NA,,3504.14,7607.41,394.79,035076,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,10,2
,RD501_opfor_unit_B1_pilot,NA,,3505.39,7605.53,400.773,035076,CX-X Mulkot,JLTS_Clone_P2_DC15A_501,2017,7,21,10,2
,SWLB_clone_medic_base_P2,NA,,3107.54,3540.05,0.00155258,031035,71383,RD501_opfor_unit_B1,2017,7,21,10,2
,SWLB_clone_base_P2,NA,,3119.35,3534.3,0.0489254,031035,Hakimi,RD501_opfor_unit_B2_droid_Standard,2017,7,21,10,3
,SWLB_clone_base_P2,NA,,3205.85,3397.53,0.00143862,032033,Masood,RD501_opfor_unit_B2_droid_Super,2017,7,21,10,3
,RD501_opfor_unit_B1,NA,,2988.13,3349.38,0.00143862,029033,6950,RD501_opfor_unit_B1_heavy,2017,7,21,10,3
,RD501_arc_170_razor,NA,,2363.45,3882.81,208.839,023038,Johnson,B_UAV_AI,2017,7,21,10,4
